zip,lead_exposure_probability,lead_risk_label,maintenance_debt_usd,compliance_risk_score,compliance_risk_label,energy_burden_pct,energy_burden_label,flood_annual_cost_usd
10172,,,,30,Moderate,,,
10173,,,,30,Moderate,,,
10174,,,,30,Moderate,,,
10175,,,,30,Moderate,,,
10176,,,,30,Moderate,,,
10177,,,,30,Moderate,,,
10178,,,,30,Moderate,,,
10179,,,,30,Moderate,,,
10184,,,,30,Moderate,,,
10185,,,,30,Moderate,,,
10196,,,,30,Moderate,,,
10199,,,,30,Moderate,,,
10200,,,,30,Moderate,,,
10203,,,,30,Moderate,,,
10211,,,,30,Moderate,,,
10212,,,,30,Moderate,,,
10213,,,,30,Moderate,,,
10242,,,,30,Moderate,,,
10249,,,,30,Moderate,,,
10256,,,,30,Moderate,,,
10257,,,,30,Moderate,,,
10258,,,,30,Moderate,,,
10259,,,,30,Moderate,,,
10260,,,,30,Moderate,,,
10261,,,,30,Moderate,,,
10265,,,,30,Moderate,,,
10268,,,,30,Moderate,,,
10269,,,,30,Moderate,,,
10270,,,,30,Moderate,,,
10271,,,,30,Moderate,,,
10272,,,,30,Moderate,,,
10273,,,,30,Moderate,,,
10274,,,,30,Moderate,,,
10275,,,,30,Moderate,,,
10276,,,,30,Moderate,,,
10277,,,,30,Moderate,,,
10278,,,,30,Moderate,,,
10279,34,Moderate,,30,Moderate,1.15,Low,
10280,64,High,325,30,Moderate,1.39,Low,1.32
10281,,,,30,Moderate,,,
10282,36,Moderate,1350,30,Moderate,1.15,Low,
10285,,,,30,Moderate,,,
10286,,,,30,Moderate,,,
10292,,,,30,Moderate,,,
10301,66,High,40500,,,3.39,Moderate,5.77
10302,66,High,40950,,,3.78,Moderate,13.74
10303,52,High,22126,,,3.62,Moderate,4.34
10304,54,High,25600,,,4.02,Moderate,3.66
10305,53,High,2925,,,3.33,Moderate,102.55
10306,59,High,24850,,,2.94,Low,167.44
10307,40,Moderate,1300,,,2.07,Low,36.6
10308,58,High,31752,,,2.34,Low,42.87
10309,37,Moderate,1300,,,2.33,Low,5.17
10310,64,High,29200,,,2.71,Low,4.97
10312,49,High,,,,2.58,Low,16.01
10314,58,High,20278,,,2.75,Low,6.22
10451,59,High,26020,,,7.75,High,0.24
10452,63,High,28450,,,7.6,High,0.03
10453,66,High,29200,,,8.11,High,0.22
10454,62,High,24502,,,10.46,Severe,4.03
10455,60,High,26140,,,7.84,High,0.1
10456,61,High,24826,,,8.06,High,0.01
10457,62,High,27550,,,6.4,High,0.01
10458,72,Very High,32200,,,6.83,High,
10459,52,High,21970,,,7.32,High,
10460,61,High,23950,,,7.97,High,
10461,67,High,29650,,,4.42,Moderate,1.85
10462,70,High,31600,,,4.53,Moderate,0.34
10463,66,High,29200,,,3.94,Moderate,0.08
10464,70,High,30850,,,2.87,Low,33.82
10465,64,High,28600,,,3.19,Moderate,20.18
10466,67,High,30250,,,4.34,Moderate,0.2
10467,68,High,30100,,,6.02,High,0.02
10468,68,High,30250,,,6.17,High,0.01
10469,65,High,30100,,,3.78,Moderate,0.13
10470,69,High,31150,,,3.54,Moderate,0.05
10471,66,High,28600,,,2.64,Low,0.8
10472,68,High,31690,,,6.67,High,1.87
10473,62,High,25078,,,5.68,Moderate,2.24
10474,65,High,28900,,,6.97,High,1.48
10475,63,High,23350,,,4.61,Moderate,0.98
10501,60,High,2275,,,1.24,Low,1.33
10502,59,High,27850,,,1.15,Low,29.45
10503,77,Very High,34750,,,1.15,Low,
10504,43,Moderate,3250,96,Critical,1.16,Low,3.31
10505,24,Moderate,,,,1.98,Low,0.03
10506,60,High,24400,93,Critical,1.15,Low,2.42
10507,60,High,25750,93,Critical,2.71,Low,4.55
10509,51,High,3250,30,Moderate,2.38,Low,0.52
10510,45,Moderate,24550,40,Moderate,1.33,Low,16.18
10511,53,High,27400,6,Low,2.26,Low,
10512,53,High,2925,80,Critical,2.31,Low,0.65
10514,54,High,25558,35,Moderate,1.15,Low,8.35
10516,54,High,26086,59,High,2.12,Low,24.81
10517,65,High,31000,,,2.6,Low,
10518,52,High,,,,1.72,Low,
10519,77,Very High,34750,30,Moderate,,,7.42
10520,63,High,24358,,,2.05,Low,1.13
10522,57,High,29440,10,Low,1.71,Low,3.71
10523,53,High,24850,76,Critical,2.48,Low,85.36
10524,55,High,24934,80,Critical,2.29,Low,12.91
10526,59,High,2925,20,Moderate,1.15,Low,0.57
10527,61,High,19750,,,1.31,Low,5.49
10528,62,High,23866,,,1.9,Low,58
10530,64,High,28000,,,2.43,Low,4.03
10532,64,High,30340,,,2.14,Low,19.76
10533,56,High,30190,3,Low,1.68,Low,30.17
10535,66,High,24070,,,,,10.77
10536,54,High,25558,96,Critical,1.2,Low,0.52
10537,68,High,30850,,,2.28,Low,0.17
10538,70,High,31600,17,Low,1.54,Low,59.64
10540,,,,25,Moderate,,,
10541,61,High,25150,56,High,2.15,Low,0.96
10542,,,,10,Low,,,
10543,65,High,29200,10,Low,2.24,Low,205.31
10546,63,High,25900,,,1.35,Low,1.4
10547,57,High,26050,,,1.85,Low,0.63
10548,63,High,27550,,,2.05,Low,1.03
10549,60,High,24934,15,Low,2.35,Low,9.38
10550,66,High,29200,0,Low,5.05,Moderate,0.52
10551,,,,0,Low,,,
10552,68,High,30700,0,Low,2.96,Low,1.08
10553,70,High,31300,0,Low,3.42,Moderate,1.54
10557,,,,0,Low,,,
10560,56,High,25654,96,Critical,1.59,Low,0.95
10562,62,High,24454,90,Critical,2.54,Low,3.04
10566,62,High,26260,23,Moderate,3.16,Moderate,1.76
10567,50,High,25600,0,Low,1.89,Low,2.91
10570,57,High,28150,71,Critical,1.53,Low,2.93
10571,,,,71,Critical,,,
10572,,,,71,Critical,,,
10573,63,High,27850,,,2.6,Low,16.13
10576,59,High,2275,,,1.27,Low,1.58
10577,52,High,21622,,,1.15,Low,18.93
10578,73,Very High,33550,,,1.15,Low,0.61
10579,70,High,26380,39,Moderate,2.12,Low,7.26
10580,62,High,28000,,,1.19,Low,227.36
10583,66,High,29800,0,Low,1.15,Low,16.67
10588,49,High,21622,10,Low,1.68,Low,11.85
10589,64,High,325,76,Critical,2.33,Low,1.42
10590,68,High,2275,51,High,1.45,Low,1.11
10591,64,High,28150,36,Moderate,2.78,Low,2.68
10594,61,High,24262,,,1.73,Low,16.89
10595,78,Very High,23950,85,Critical,2.64,Low,6.23
10596,67,High,29440,,,3.51,Moderate,43.5
10597,57,High,19750,,,1.36,Low,22.62
10598,53,High,24850,60,High,1.76,Low,2.32
10601,46,High,25750,55,High,3.17,Moderate,0.56
10602,,,,55,High,,,
10603,55,High,23866,55,High,2.37,Low,3.01
10604,62,High,27550,,,2.59,Low,9.24
10605,56,High,29890,55,High,1.98,Low,2.13
10606,56,High,28690,55,High,2.5,Low,0.13
10607,52,High,27850,55,High,1.78,Low,26.96
10610,,,,55,High,,,
10701,70,High,24718,0,Low,4.54,Moderate,3.32
10702,,,,0,Low,,,
10703,74,Very High,29200,0,Low,3.84,Moderate,7.35
10704,74,Very High,29350,0,Low,2.61,Low,0.38
10705,74,Very High,41250,0,Low,4.19,Moderate,0.79
10706,68,High,30550,,,1.62,Low,11.39
10707,57,High,27400,33,Moderate,2.03,Low,10.71
10708,70,High,31750,,,2.37,Low,45.07
10709,65,High,29950,,,1.64,Low,2.44
10710,70,High,27400,0,Low,2.85,Low,9.53
10801,63,High,40350,93,Critical,3.44,Moderate,6.52
10802,,,,93,Critical,,,
10803,72,Very High,32500,,,1.35,Low,12.54
10804,68,High,43200,93,Critical,1.31,Low,44.12
10805,65,High,29590,93,Critical,3.2,Moderate,12.4
10901,60,High,3590,45,High,2.51,Low,17.77
10911,66,High,325,44,Moderate,,,
10913,55,High,24262,60,High,1.64,Low,4.21
10914,45,Moderate,,76,Critical,,,40.16
10916,51,High,,52,High,2.5,Low,4.19
10917,70,High,25954,15,Low,2.27,Low,10.18
10918,67,High,21550,56,High,1.96,Low,5.64
10919,56,High,27850,,,2.71,Low,0.74
10920,57,High,20278,,,2,Low,0.69
10921,53,High,3250,96,Critical,2.68,Low,8.38
10922,58,High,28750,25,Moderate,3.25,Moderate,
10923,60,High,24550,,,3,Moderate,34.69
10924,53,High,31860,93,Critical,2.51,Low,5.42
10925,66,High,30550,73,Critical,3.22,Moderate,6.71
10926,51,High,,93,Critical,2.93,Low,0.72
10927,69,High,25900,21,Moderate,4.26,Moderate,0.03
10928,63,High,27850,73,Critical,2.99,Low,0.31
10930,49,High,,20,Moderate,2.03,Low,2.69
10931,67,High,29500,59,High,3.53,Moderate,78.38
10932,35,Moderate,,,,,,
10933,60,High,3250,,,,,2.77
10940,46,High,3250,90,Critical,3.3,Moderate,1.24
10941,43,Moderate,19750,90,Critical,3,Moderate,2.23
10943,,,,90,Critical,,,
10949,,,,83,Critical,,,
10950,32,Moderate,1300,83,Critical,3.73,Moderate,3.79
10952,41,Moderate,19750,40,Moderate,4.07,Moderate,2
10953,62,High,31500,,,,,18.58
10954,56,High,20278,,,2.55,Low,2.37
10956,53,High,23650,83,Critical,1.61,Low,8.71
10958,45,Moderate,20470,29,Moderate,1.84,Low,7.15
10960,71,Very High,27550,90,Critical,2.28,Low,17.8
10962,54,High,24646,6,Low,1.68,Low,4.88
10963,59,High,26350,53,High,3.63,Moderate,0.14
10964,61,High,27700,,,,,25.05
10965,61,High,27700,,,2.1,Low,4.7
10968,61,High,3590,,,2.18,Low,90.47
10969,51,High,21142,,,1.87,Low,0.58
10970,72,Very High,19750,10,Low,2.43,Low,2.51
10973,41,Moderate,325,96,Critical,2.15,Low,1.45
10974,55,High,27400,70,Critical,2.56,Low,11.19
10975,60,High,25300,,,2.8,Low,
10976,61,High,24358,,,3,Moderate,39.16
10977,45,Moderate,2925,18,Low,3.7,Moderate,2.93
10980,45,Moderate,3590,100,Critical,2.29,Low,15.33
10983,63,High,24394,,,1.61,Low,32.08
10984,61,High,31500,,,2.62,Low,0.7
10985,37,Moderate,975,,,,,
10986,60,High,24718,,,,,4.37
10987,54,High,24826,41,Moderate,1.75,Low,20.11
10988,48,High,2925,56,High,2.75,Low,5.03
10989,54,High,3590,21,Moderate,2.19,Low,6.11
10990,45,Moderate,21610,58,High,2.33,Low,1.32
10992,57,High,,58,High,2.53,Low,46.58
10993,52,High,25000,10,Low,4.41,Moderate,4.29
10994,61,High,25900,90,Critical,1.72,Low,54.1
10996,50,High,,,,2.06,Low,
10998,39,Moderate,1300,,,2.45,Low,0.77
11001,70,High,32200,,,1.99,Low,0.02
11003,67,High,30850,,,2.34,Low,0.61
11004,66,High,31600,,,2.62,Low,0.02
11005,62,High,31500,,,3.14,Moderate,
11010,66,High,31900,55,High,2.04,Low,0.21
11020,58,High,31150,0,Low,1.7,Low,6.26
11021,59,High,29650,0,Low,2.35,Low,6.2
11022,,,,0,Low,,,
11023,57,High,29500,0,Low,1.9,Low,17.82
11024,56,High,28300,0,Low,1.69,Low,25.39
11026,,,,0,Low,,,
11027,,,,0,Low,,,
11030,57,High,29050,18,Low,1.16,Low,2.65
11040,60,High,31450,0,Low,1.87,Low,0.7
11041,,,,0,Low,,,
11042,,,,0,Low,,,
11050,62,High,27250,70,Critical,1.87,Low,7.32
11051,,,,70,Critical,,,
11052,,,,70,Critical,,,
11053,,,,70,Critical,,,
11054,,,,70,Critical,,,
11055,,,,70,Critical,,,
11096,65,High,28750,,,3.26,Moderate,180.58
11101,41,Moderate,,,,2.46,Low,15.76
11102,64,High,29890,,,2.79,Low,2.89
11103,69,High,30700,,,3.1,Moderate,0.19
11104,71,Very High,31750,,,3.39,Moderate,0.06
11105,70,High,31450,,,2.87,Low,0.5
11106,67,High,31390,,,3.36,Moderate,0.49
11109,19,Low,,,,1.45,Low,2.58
11201,64,High,28150,100,Critical,1.7,Low,9.65
11202,,,,100,Critical,,,
11203,77,Very High,31300,100,Critical,4.23,Moderate,0.52
11204,79,Very High,31900,100,Critical,4.26,Moderate,0.12
11205,71,Very High,30190,100,Critical,3.32,Moderate,0.13
11206,63,High,26260,100,Critical,5.02,Moderate,0.07
11207,72,Very High,28750,100,Critical,5.19,Moderate,0.16
11208,72,Very High,40350,100,Critical,4.79,Moderate,0.2
11209,79,Very High,31750,100,Critical,3.1,Moderate,0.22
11210,78,Very High,31750,100,Critical,3.45,Moderate,0.26
11211,66,High,29440,100,Critical,2.73,Low,4.61
11212,73,Very High,28750,100,Critical,7.18,High,0.02
11213,78,Very High,31600,100,Critical,4.64,Moderate,
11214,76,Very High,30250,100,Critical,4.47,Moderate,1.2
11215,79,Very High,31900,100,Critical,1.59,Low,1.55
11216,77,Very High,31150,100,Critical,3.03,Moderate,0.02
11217,73,Very High,29650,100,Critical,1.82,Low,2.95
11218,76,Very High,30250,100,Critical,3,Moderate,0.29
11219,76,Very High,30250,100,Critical,5.16,Moderate,0.22
11220,79,Very High,31450,100,Critical,4.48,Moderate,0.79
11221,73,Very High,29350,100,Critical,3.38,Moderate,0.07
11222,74,Very High,30100,100,Critical,2.32,Low,7.24
11223,77,Very High,31600,100,Critical,4.5,Moderate,1.83
11224,70,High,23494,100,Critical,6.94,High,130.9
11225,79,Very High,31600,100,Critical,3.38,Moderate,0.03
11226,79,Very High,32200,100,Critical,3.55,Moderate,0.09
11228,79,Very High,32350,100,Critical,3.56,Moderate,0.26
11229,77,Very High,31450,100,Critical,3.96,Moderate,18.91
11230,77,Very High,30850,100,Critical,4.14,Moderate,0.17
11231,76,Very High,31150,100,Critical,2.08,Low,31.48
11232,76,Very High,30700,100,Critical,3.29,Moderate,22.55
11233,75,Very High,30100,100,Critical,4.64,Moderate,0.3
11234,75,Very High,29350,100,Critical,3.05,Moderate,7.56
11235,73,Very High,29200,100,Critical,4.66,Moderate,70.37
11236,74,Very High,29440,100,Critical,3.47,Moderate,2.73
11237,76,Very High,30400,100,Critical,3.48,Moderate,0.84
11238,74,Very High,29800,100,Critical,2.16,Low,0.11
11239,63,High,19750,100,Critical,8.06,High,
11240,,,,100,Critical,,,
11241,,,,100,Critical,,,
11242,,,,100,Critical,,,
11243,,,,100,Critical,,,
11244,,,,100,Critical,,,
11245,,,,100,Critical,,,
11247,,,,100,Critical,,,
11248,,,,100,Critical,,,
11249,48,High,,100,Critical,2.37,Low,1.76
11251,,,,100,Critical,,,
11252,,,,100,Critical,,,
11254,,,,100,Critical,,,
11256,,,,100,Critical,,,
11351,,,,60,High,,,
11352,,,,60,High,,,
11354,53,High,24454,60,High,4.58,Moderate,4.34
11355,55,High,27700,60,High,5.36,Moderate,0.8
11356,62,High,23866,,,3.15,Moderate,13.74
11357,63,High,28750,,,2.94,Low,2.37
11358,59,High,42450,60,High,3.24,Moderate,0.67
11360,61,High,24502,,,2.87,Low,0.94
11361,65,High,29500,,,2.65,Low,0.59
11362,62,High,28900,,,2.42,Low,0.72
11363,66,High,28840,,,2.59,Low,6.46
11364,65,High,30250,,,2.84,Low,0.76
11365,65,High,30400,,,3.37,Moderate,1.88
11366,66,High,31300,,,2.45,Low,0.64
11367,57,High,30790,60,High,3.79,Moderate,0.16
11368,63,High,24358,,,4.01,Moderate,0.73
11369,68,High,43200,,,3.57,Moderate,0.33
11370,66,High,29350,,,3.84,Moderate,0.3
11371,,,,60,High,,,
11372,70,High,32200,,,3.73,Moderate,0.06
11373,65,High,29890,,,4.02,Moderate,0.05
11374,65,High,30490,,,3.33,Moderate,0.61
11375,68,High,42150,,,2.76,Low,1.27
11377,66,High,29200,,,3.92,Moderate,1.31
11378,68,High,30700,,,3.39,Moderate,3.72
11379,67,High,29950,,,3.11,Moderate,0.29
11381,,,,60,High,,,
11385,71,Very High,31600,,,3.29,Moderate,0.18
11390,,,,60,High,,,
11411,70,High,32500,,,2.43,Low,0.14
11412,70,High,32050,,,2.92,Low,0.07
11413,66,High,41850,,,2.51,Low,1.88
11414,63,High,24262,,,2.93,Low,156.68
11415,68,High,31090,,,3.24,Moderate,0.01
11416,70,High,31450,,,3.36,Moderate,0.07
11417,68,High,31240,,,3.33,Moderate,0.2
11418,71,Very High,32200,,,3.39,Moderate,0.12
11419,72,Very High,32200,,,3.15,Moderate,0.03
11420,68,High,30850,,,2.92,Low,0.78
11421,71,Very High,32200,,,3.22,Moderate,0.05
11422,64,High,30340,,,2.65,Low,17.56
11423,68,High,43350,,,3.56,Moderate,0.43
11426,68,High,32200,,,2.67,Low,0.01
11427,67,High,43800,,,3.12,Moderate,0.17
11428,73,Very High,33250,,,3.38,Moderate,0.01
11429,72,Very High,32950,,,2.93,Low,0.15
11432,64,High,27850,,,3.81,Moderate,0.23
11433,62,High,29590,,,4.04,Moderate,1.41
11434,64,High,27400,,,3.75,Moderate,0.51
11435,64,High,29950,,,3.62,Moderate,8.08
11436,66,High,40800,,,3.34,Moderate,2.12
11501,73,Very High,29950,0,Low,2.08,Low,0.75
11507,63,High,29350,,,1.76,Low,0.74
11509,61,High,28300,,,1.77,Low,708.41
11510,62,High,42750,52,High,2.04,Low,198.31
11514,59,High,31900,3,Low,2.11,Low,6.51
11516,67,High,30400,,,2.82,Low,238.7
11518,66,High,31450,,,2.74,Low,513.83
11520,60,High,41850,0,Low,2.41,Low,421.12
11530,91,Very High,32050,14,Low,1.42,Low,0.76
11531,,,,14,Low,,,
11535,,,,14,Low,,,
11542,61,High,27850,0,Low,3.12,Moderate,7.64
11545,61,High,27550,,,1.75,Low,1.64
11547,57,High,29950,6,Low,2.33,Low,8.5
11548,54,High,,,,2.68,Low,1.89
11549,,,,23,Moderate,,,
11550,58,High,28300,23,Moderate,3.31,Moderate,0.92
11551,,,,23,Moderate,,,
11552,60,High,31600,14,Low,1.88,Low,0.99
11553,67,High,43500,,,2.71,Low,0.22
11554,53,High,29800,0,Low,2.23,Low,0.52
11557,65,High,30850,,,1.69,Low,191.51
11558,60,High,23866,,,2.63,Low,1575.44
11559,62,High,24502,,,1.84,Low,347.1
11560,58,High,29290,3,Low,1.8,Low,12.55
11561,56,High,27850,19,Low,2.16,Low,673.47
11563,69,High,30550,,,2.08,Low,1.08
11565,72,Very High,32350,,,1.98,Low,0.65
11566,65,High,29950,90,Critical,1.69,Low,178.87
11568,52,High,25150,17,Low,1.15,Low,0.47
11569,72,Very High,32500,,,2.65,Low,206.38
11570,61,High,31690,0,Low,1.95,Low,2.63
11571,,,,0,Low,,,
11572,64,High,29200,,,1.99,Low,613.23
11575,66,High,30400,,,2.15,Low,0.29
11576,52,High,25900,0,Low,1.24,Low,5.76
11577,65,High,30400,55,High,1.57,Low,1.68
11579,62,High,31450,0,Low,1.55,Low,5.01
11580,65,High,30700,,,2.12,Low,1.22
11581,67,High,30400,,,2.07,Low,120.04
11590,53,High,29500,35,Moderate,1.93,Low,0.16
11592,,,,0,Low,,,
11596,64,High,32050,3,Low,1.77,Low,0.64
11598,65,High,30640,,,1.58,Low,327.11
11599,,,,14,Low,,,
11691,60,High,25294,,,5.04,Moderate,92.81
11692,52,High,3590,,,5.81,Moderate,207.88
11693,60,High,26020,,,4.24,Moderate,389.8
11694,64,High,27550,,,2.77,Low,434.04
11697,53,High,26050,,,2.13,Low,1387.08
11701,57,High,25450,,,2.6,Low,319.5
11702,65,High,30190,50,High,2.1,Low,552.11
11703,61,High,27250,,,2.21,Low,2.67
11704,61,High,24502,,,2.26,Low,10.56
11705,59,High,25222,,,1.78,Low,54.7
11706,60,High,25900,,,2.5,Low,92.87
11709,54,High,25162,17,Low,2,Low,204.18
11710,63,High,28600,10,Low,1.66,Low,172.51
11713,51,High,20614,,,2.57,Low,6.08
11714,60,High,29350,0,Low,2.33,Low,0.03
11715,63,High,24262,,,1.82,Low,136.46
11716,58,High,2925,,,2.39,Low,0.44
11717,57,High,23950,,,,,0.07
11718,68,High,31450,,,1.41,Low,105.51
11719,68,High,25150,58,High,2.98,Low,62.54
11720,58,High,23650,,,2.25,Low,0.62
11721,55,High,28300,35,Moderate,1.39,Low,16.13
11722,57,High,24400,,,2.61,Low,0.29
11724,63,High,27850,,,1.15,Low,3.49
11725,59,High,23974,,,1.71,Low,0.75
11726,59,High,25150,,,2.29,Low,133.03
11727,50,High,19750,,,2.83,Low,0.16
11729,60,High,25540,,,2.08,Low,0.36
11730,61,High,28000,,,1.97,Low,18.86
11731,62,High,24070,,,1.81,Low,0.18
11732,60,High,24934,,,2.38,Low,0.26
11733,58,High,23200,,,1.64,Low,6.16
11735,55,High,28900,0,Low,1.97,Low,0.17
11736,,,,0,Low,,,
11737,,,,0,Low,,,
11738,60,High,3590,,,2.07,Low,0.19
11739,63,High,24580,,,2.16,Low,14.25
11740,55,High,25162,55,High,1.78,Low,0.24
11741,57,High,31500,,,2.08,Low,0.54
11742,50,High,19750,,,2.27,Low,0.37
11743,55,High,28000,55,High,1.66,Low,6.78
11746,61,High,25540,,,1.82,Low,0.58
11747,48,High,,,,1.86,Low,1.12
11749,58,High,19750,,,2.56,Low,
11751,55,High,25030,45,High,2.47,Low,64.83
11752,60,High,24214,,,1.94,Low,0.15
11753,59,High,24358,,,1.55,Low,0.92
11754,53,High,23800,0,Low,2.33,Low,0.5
11755,57,High,22900,,,2.39,Low,0.23
11756,69,High,33400,,,2.06,Low,0.25
11757,87,Very High,28150,60,High,2.25,Low,266.93
11758,62,High,29950,0,Low,1.83,Low,380.28
11762,62,High,32740,,,1.68,Low,9.75
11763,59,High,19750,21,Moderate,2.41,Low,0.36
11764,49,High,,,,2.02,Low,2.56
11765,65,High,28990,,,1.15,Low,8.07
11766,48,High,19750,,,1.83,Low,5.54
11767,57,High,3250,,,1.93,Low,0.2
11768,70,High,24262,61,High,1.76,Low,33.4
11769,59,High,24250,,,2.24,Low,252.66
11770,58,High,28750,38,Moderate,2.84,Low,1914.59
11771,63,High,24718,7,Low,1.76,Low,15.06
11772,59,High,25450,,,2.73,Low,36.16
11773,,,,0,Low,,,
11774,,,,0,Low,,,
11776,51,High,19750,,,2.41,Low,0.35
11777,51,High,24700,25,Moderate,1.94,Low,34.85
11778,61,High,25750,,,2.4,Low,0.83
11779,60,High,2275,,,2.44,Low,0.67
11780,57,High,3250,,,2.03,Low,3.81
11782,61,High,24766,,,1.99,Low,125.57
11783,62,High,30400,,,1.75,Low,298.02
11784,59,High,22900,,,2.73,Low,0.11
11786,57,High,2925,,,1.78,Low,0.22
11787,51,High,23650,0,Low,2.03,Low,2.69
11788,51,High,19750,50,High,1.93,Low,0.85
11789,63,High,24934,,,2.04,Low,0.06
11790,61,High,22918,,,1.82,Low,6.04
11791,60,High,28450,0,Low,1.41,Low,0.14
11792,51,High,20614,,,1.96,Low,6.42
11793,63,High,31690,,,1.71,Low,84.05
11795,61,High,24262,37,Moderate,1.68,Low,188.52
11796,64,High,30340,,,1.77,Low,4.4
11797,58,High,19750,50,High,1.57,Low,2.4
11798,56,High,20326,,,,,0.24
11801,57,High,31750,0,Low,1.94,Low,0.1
